blueish,blue ish
bluish,blue ish
orangish,orange ish
purplish,purple ish
reddish,red ish
darkish,dark ish
greenish,green ish
greyish,grey ish
lightish,light ish
pinkish,pink ish
tealish,teal ish
yellowish,yellow ish
brownish,brown ish
bluey,blue y
dirty,dirt y
dusky,dusk y
dusty,dust y
grassy,grass y
greeny,green y
leafy,leaf y
minty,mint y
muddy,mud y
murky,murk y
orangey,orange y
peachy,peach y
pinky,pink y
purpley,purple y
reddy,red y
rosy,rose y
rusty,rust y
sandy,sand y
-, - 
blurple,blue MASH purple
